neuron_idx,z_score,raw_mean,raw_std
0,-0.060903,-0.001607,0.006197
1,-0.434955,-0.015046,0.006225
2,-0.818284,-0.028818,0.010404
3,0.423609,0.015801,0.008111
4,-0.100714,-0.003037,0.005513
5,-0.569216,-0.01987,0.014279
6,0.516531,0.019139,0.006386
7,-0.34293,-0.01174,0.010489
8,0.075402,0.00329,0.007087
9,0.043737,0.002152,0.005202
10,-0.061025,-0.001611,0.02079
11,0.060613,0.002759,0.003818
12,-0.067991,-0.001862,0.005506
13,0.144455,0.005771,0.005752
14,0.012155,0.001018,0.006302
15,0.53625,0.019848,0.006408
16,-0.861283,-0.030363,0.007671
17,-0.195641,-0.006448,0.017265
18,0.145222,0.005799,0.007872
19,0.365761,0.013722,0.005039
20,-0.44709,-0.015482,0.008101
21,-0.43862,-0.015178,0.007884
22,-0.218547,-0.007271,0.007823
23,0.264275,0.010076,0.008737
24,-0.151873,-0.004875,0.005218
25,-0.034037,-0.000642,0.040635
26,0.007804,0.000861,0.003321
27,0.617028,0.02275,0.016143
28,0.032159,0.001737,0.005965
29,0.139728,0.005601,0.008829
30,3.130441,0.113052,0.028057
31,0.137766,0.005531,0.00485
32,0.75754,0.027798,0.01354
33,-0.816155,-0.028742,0.007509
34,-0.023976,-0.00028,0.004787
35,-0.358824,-0.012311,0.009865
36,-0.418664,-0.014461,0.009594
37,-0.219914,-0.00732,0.005609
38,1.214216,0.044206,0.023113
39,0.405477,0.015149,0.009948
40,0.612659,0.022593,0.013783
41,-0.329352,-0.011252,0.010156
42,-0.466504,-0.01618,0.00625
43,0.445808,0.016598,0.009536
44,-0.388716,-0.013385,0.008673
45,0.15402,0.006115,0.009546
46,-0.755567,-0.026565,0.01744
47,-1.183793,-0.04195,0.011351
48,-0.022197,-0.000216,0.004889
49,0.220765,0.008513,0.007517
50,-0.140144,-0.004454,0.006137
51,0.310552,0.011739,0.007155
52,0.16743,0.006597,0.006471
53,-0.687515,-0.02412,0.013592
54,0.618981,0.02282,0.020521
55,-0.131069,-0.004128,0.004083
56,0.182758,0.007147,0.009178
57,-0.051998,-0.001287,0.003853
58,0.045471,0.002215,0.005866
59,-3.332633,-0.119154,0.029273
60,-0.274427,-0.009279,0.007249
61,0.662005,0.024366,0.008028
62,0.075896,0.003308,0.003743
63,2.900873,0.104804,0.036025
64,0.138985,0.005575,0.007302
65,-0.145868,-0.00466,0.005689
66,-0.175418,-0.005721,0.004992
67,-0.275206,-0.009307,0.009098
68,0.949565,0.034697,0.009986
69,0.503465,0.01867,0.007654
70,0.729275,0.026783,0.012424
71,-0.388486,-0.013376,0.010624
72,-0.609948,-0.021333,0.006855
73,-0.131379,-0.004139,0.004094
74,-0.240165,-0.008048,0.009466
75,1.09431,0.039898,0.01395
76,-0.07821,-0.002229,0.003309
77,-0.022774,-0.000237,0.004924
78,-0.050131,-0.00122,0.003905
79,-0.014277,6.8e-05,0.004161
80,-0.220477,-0.00734,0.005859
81,0.222844,0.008587,0.006668
82,2.11851,0.076695,0.013506
83,0.034927,0.001836,0.009951
84,-0.11198,-0.003442,0.004714
85,0.645542,0.023774,0.012128
86,-0.057957,-0.001501,0.004347
87,-0.466367,-0.016175,0.010569
88,0.370988,0.01391,0.00911
89,0.235085,0.009027,0.00649
90,0.815365,0.029876,0.010195
91,0.768975,0.028209,0.016026
92,-0.035832,-0.000706,0.009073
93,0.027808,0.00158,0.009262
94,8.660479,0.311736,0.037222
95,0.00529,0.000771,0.006119
96,-0.019556,-0.000121,0.002922
97,0.054059,0.002523,0.004281
98,0.297272,0.011262,0.005567
99,0.020946,0.001334,0.004572
100,0.889957,0.032556,0.014604
101,0.006577,0.000817,0.007881
102,-0.137665,-0.004365,0.007026
103,0.105708,0.004379,0.006172
104,0.089235,0.003787,0.007863
105,0.193149,0.007521,0.007009
106,0.766839,0.028132,0.013492
107,0.305512,0.011558,0.005979
108,0.097604,0.004088,0.009526
109,5.112193,0.184253,0.062901
110,-0.138976,-0.004412,0.006431
111,0.018074,0.00123,0.008809
112,0.070429,0.003111,0.003203
113,1.329101,0.048333,0.009691
114,-0.265733,-0.008966,0.006697
115,-0.21064,-0.006987,0.004507
116,0.833299,0.03052,0.013532
117,-0.077731,-0.002212,0.004997
118,-0.005671,0.000377,0.00925
119,-0.637251,-0.022314,0.009171
120,-0.162965,-0.005274,0.004556
121,-0.140632,-0.004472,0.005788
122,-0.068986,-0.001897,0.003783
123,1.673887,0.060721,0.018387
124,0.129142,0.005221,0.006364
125,0.784484,0.028766,0.013437
126,0.119335,0.004869,0.006985
127,-1.361307,-0.048328,0.038458
128,-0.131854,-0.004156,0.011343
129,-0.084468,-0.002454,0.00478
130,-0.40746,-0.014058,0.005553
131,-0.151463,-0.004861,0.00799
132,-0.012698,0.000125,0.01094
