neuron_idx,z_score,raw_mean,raw_std
0,-0.184084,-0.098209,0.476682
1,-0.055737,-0.031188,0.121817
2,0.032315,0.014792,0.040183
3,-2.207409,-1.154768,0.975373
4,0.021744,0.009272,0.038737
5,0.035502,0.016456,0.099764
6,0.003883,-5.5e-05,0.159323
7,-0.040651,-0.02331,0.104335
8,0.670483,0.348036,0.488324
9,0.246826,0.126807,0.242166
10,0.028656,0.012881,0.086935
11,-0.601209,-0.316028,0.963477
12,-0.372879,-0.196796,0.351473
13,0.303634,0.156471,0.295783
14,-0.038496,-0.022185,0.092679
15,-0.05034,-0.02837,0.110257
16,-0.220085,-0.117009,0.275573
17,-0.141928,-0.076196,0.080625
18,-0.040185,-0.023067,0.036627
19,-0.085929,-0.046954,0.241399
20,0.028498,0.012799,0.137545
21,-0.007492,-0.005995,0.07745
22,-0.297476,-0.157422,0.663848
23,1.476083,0.768711,2.786444
24,0.051389,0.024752,0.159675
25,0.087805,0.043768,0.215072
26,0.061347,0.029952,0.110881
27,0.117672,0.059364,0.044435
28,0.120461,0.06082,0.257777
29,0.21239,0.108825,0.078724
30,0.027725,0.012395,0.10218
31,0.135286,0.068562,0.253193
32,-0.362735,-0.191499,0.663528
33,0.016332,0.006446,0.080962
34,0.023728,0.010307,0.047196
35,0.109609,0.055154,0.121037
36,-0.041732,-0.023875,0.089815
37,0.054389,0.026318,0.195415
38,-0.065573,-0.036324,0.090517
39,-0.015716,-0.01029,0.040746
40,0.175677,0.089654,0.205735
41,-0.061293,-0.034089,0.110759
42,-0.006771,-0.005619,0.153396
43,0.13509,0.06846,0.190146
44,0.195743,0.100132,0.179345
45,0.232207,0.119173,0.154395
46,-0.052324,-0.029406,0.155458
47,1.733117,0.902932,0.826154
48,4.600686,2.400345,1.835172
49,0.012671,0.004534,0.127744
50,-0.019225,-0.012122,0.333824
51,0.041287,0.019476,0.068182
52,-0.272915,-0.144596,0.450932
53,-0.047719,-0.027001,0.10373
54,0.251117,0.129048,0.923808
55,-0.052563,-0.029531,0.118598
56,-0.035848,-0.020802,0.134314
57,0.515919,0.267324,1.327228
58,-0.48129,-0.253407,0.538087
59,0.269586,0.138692,0.282488
60,-0.010862,-0.007755,0.022228
61,-0.161327,-0.086326,0.315428
62,-0.071673,-0.03951,0.109239
63,0.31279,0.161252,0.406114
64,0.084789,0.042193,0.105157
65,0.408642,0.211305,0.465233
66,0.019678,0.008192,0.052257
67,0.158412,0.080638,0.1774
68,0.27633,0.142214,0.246886
69,0.075303,0.037239,0.18144
70,-0.004902,-0.004643,0.091889
71,0.179215,0.091501,0.140436
72,-0.962045,-0.504452,0.610076
73,-1.615806,-0.845839,0.603554
74,-1.211824,-0.634884,1.361763
75,-0.192717,-0.102718,0.872967
76,0.041504,0.01959,0.095763
77,0.370163,0.191212,0.449895
78,-1.144781,-0.599875,0.705813
79,0.075477,0.03733,0.126163
80,-0.927982,-0.486665,0.169023
81,0.050527,0.024302,0.056436
82,-0.004181,-0.004266,0.042702
83,-0.31209,-0.165053,0.421416
84,-0.080648,-0.044196,0.369086
