neuron_idx,z_score,raw_mean,raw_std
0,-0.261724,-0.004001,0.006734
1,-0.291206,-0.004433,0.004296
2,-0.184181,-0.002865,0.003253
3,-0.181817,-0.00283,0.003994
4,1.399426,0.020339,0.005541
5,-0.223062,-0.003435,0.005679
6,-0.213967,-0.003301,0.00439
7,-0.080754,-0.00135,0.003018
8,-2.342711,-0.034493,0.007497
9,2.017702,0.029398,0.010619
10,-0.138411,-0.002194,0.003252
11,-0.352111,-0.005326,0.008636
12,-0.280859,-0.004282,0.00527
13,0.052438,0.000602,0.002407
14,0.175652,0.002407,0.0022
15,-0.389725,-0.005877,0.003273
16,-0.034742,-0.000675,0.00207
17,-0.126244,-0.002016,0.002951
18,-0.08761,-0.00145,0.003522
19,0.144175,0.001946,0.003351
20,0.914099,0.013227,0.004486
21,-0.04841,-0.000876,0.002629
22,-0.520725,-0.007796,0.005457
23,-0.28019,-0.004272,0.003196
24,0.141385,0.001905,0.002706
25,-0.75591,-0.011242,0.005896
26,0.205539,0.002845,0.003949
27,0.052783,0.000607,0.002892
28,-0.14,-0.002218,0.003173
29,0.06572,0.000797,0.002107
30,0.675122,0.009726,0.004698
31,0.973152,0.014093,0.00843
32,0.540211,0.007749,0.004408
33,-0.090164,-0.001487,0.002796
34,-0.311115,-0.004725,0.00582
35,-0.279389,-0.00426,0.003247
36,0.416917,0.005943,0.005587
37,-0.014555,-0.00038,0.003023
38,-0.694815,-0.010347,0.005655
39,0.080946,0.00102,0.003137
40,0.014435,4.5e-05,0.003985
41,-1.110938,-0.016444,0.006573
42,0.076297,0.000952,0.00292
43,0.557863,0.008008,0.007289
44,-0.268501,-0.004101,0.002788
45,0.195252,0.002695,0.00581
46,-1.610883,-0.02377,0.016411
47,0.419528,0.005981,0.006671
48,0.41691,0.005942,0.00346
49,-0.16207,-0.002541,0.004036
50,0.07668,0.000957,0.00219
51,0.921168,0.013331,0.005249
52,0.179958,0.002471,0.004213
53,0.406754,0.005794,0.003578
54,0.083368,0.001055,0.004877
55,-0.764649,-0.01137,0.005911
56,0.866987,0.012537,0.01458
57,0.336199,0.00476,0.00386
58,-1.737144,-0.02562,0.006862
59,-0.543831,-0.008135,0.003637
60,-0.173837,-0.002713,0.003549
61,0.434991,0.006207,0.004684
62,-0.767707,-0.011415,0.006357
63,0.092157,0.001184,0.002781
64,0.432808,0.006175,0.003891
65,0.002402,-0.000131,0.002702
66,-1.6011,-0.023626,0.007168
67,1.038647,0.015052,0.030614
68,0.247829,0.003465,0.003394
69,-0.060657,-0.001055,0.002953
70,-0.653191,-0.009737,0.011332
71,-0.064227,-0.001107,0.001748
72,0.964578,0.013967,0.004583
73,1.68093,0.024463,0.008115
74,0.026549,0.000223,0.002972
75,0.420073,0.005989,0.004627
76,0.180825,0.002483,0.003084
77,0.202491,0.002801,0.002272
78,0.774603,0.011183,0.008563
79,-0.18623,-0.002895,0.002488
80,-0.102276,-0.001665,0.003636
81,-1.183953,-0.017514,0.00671
82,-0.337482,-0.005111,0.004961
83,-0.768485,-0.011426,0.004974
84,-1.667579,-0.0246,0.006377
85,1.174451,0.017042,0.00879
86,0.181563,0.002494,0.002663
87,-0.272074,-0.004153,0.003723
88,1.248207,0.018123,0.006885
89,-0.289157,-0.004403,0.003714
90,-1.334662,-0.019722,0.01792
91,-0.76857,-0.011428,0.007234
92,0.252816,0.003538,0.003377
93,-0.097906,-0.001601,0.01325
94,0.163288,0.002226,0.004245
95,0.11373,0.0015,0.001966
96,0.592165,0.00851,0.004573
97,-0.546666,-0.008176,0.004131
98,1.789872,0.02606,0.011069
99,0.403196,0.005741,0.012375
100,1.12072,0.016255,0.006108
101,0.685825,0.009883,0.004707
102,0.461387,0.006594,0.004412
103,-4.464416,-0.065581,0.013265
104,0.179627,0.002466,0.002603
105,-0.049215,-0.000887,0.002657
106,-0.079548,-0.001332,0.008081
107,-0.05449,-0.000965,0.002497
108,-0.203599,-0.00315,0.007708
109,0.156074,0.002121,0.005094
110,2.298238,0.033508,0.015998
111,0.354349,0.005026,0.003601
112,0.171838,0.002352,0.004407
113,0.185749,0.002555,0.006579
114,0.079699,0.001001,0.002575
115,0.173505,0.002376,0.003567
116,0.052366,0.000601,0.003391
117,0.031966,0.000302,0.016762
118,-2.456334,-0.036158,0.006999
119,0.690513,0.009951,0.00533
120,0.096853,0.001253,0.00239
121,-0.1708,-0.002669,0.002822
122,0.423828,0.006044,0.003271
123,-0.153574,-0.002417,0.003484
124,-0.105888,-0.001718,0.005325
125,0.175375,0.002403,0.004157
126,-0.302627,-0.004601,0.003437
127,0.149404,0.002023,0.007652
128,0.175585,0.002406,0.003649
129,-0.403384,-0.006077,0.005204
130,-0.65731,-0.009798,0.004445
131,-0.222471,-0.003426,0.003989
132,-2.184236,-0.032171,0.015442
133,-0.580744,-0.008676,0.007409
134,0.094261,0.001215,0.002708
135,0.044627,0.000488,0.006691
136,0.882395,0.012763,0.011992
137,0.07862,0.000986,0.00253
138,-0.100227,-0.001635,0.001867
139,1.110264,0.016102,0.008264
140,0.271107,0.003806,0.003841
141,0.038728,0.000401,0.002133
142,0.07353,0.000911,0.002537
143,-0.703894,-0.01048,0.004388
144,0.020561,0.000135,0.003492
145,0.378608,0.005381,0.00412
146,0.162699,0.002218,0.003738
147,-0.080535,-0.001346,0.003004
148,-0.116837,-0.001878,0.006812
149,0.581474,0.008354,0.007613
150,1.627636,0.023682,0.009207
151,0.165544,0.002259,0.00383
152,-0.366674,-0.005539,0.003542
153,-0.774239,-0.011511,0.006821
154,1.529931,0.022251,0.008784
155,0.124721,0.001661,0.003613
156,-0.003454,-0.000217,0.002185
157,0.198847,0.002747,0.004502
158,-0.166372,-0.002604,0.015048
159,3.327737,0.048593,0.013739
160,0.756692,0.010921,0.007119
161,0.074176,0.000921,0.002927
162,0.047272,0.000526,0.002977
163,0.452655,0.006466,0.002951
164,0.218068,0.003029,0.006718
165,-2.194583,-0.032322,0.010127
166,1.509609,0.021953,0.005743
167,2.079286,0.0303,0.014181
168,0.110717,0.001456,0.003685
169,-0.693969,-0.010335,0.004255
170,0.021623,0.000151,0.002521
171,-1.985781,-0.029263,0.010099
172,-1.130895,-0.016737,0.013221
173,-0.028748,-0.000588,0.005506
174,-0.134894,-0.002143,0.004476
175,0.406846,0.005795,0.003221
176,0.375445,0.005335,0.006369
177,-0.168457,-0.002635,0.004583
178,2.9964,0.043738,0.008118
179,0.298205,0.004203,0.005011
180,0.107781,0.001413,0.002831
181,-0.333644,-0.005055,0.003051
182,0.515403,0.007386,0.004343
183,1.516724,0.022057,0.005607
184,0.029911,0.000272,0.002732
185,-0.148241,-0.002338,0.004353
186,0.496317,0.007106,0.003563
187,-0.049869,-0.000897,0.005231
188,-0.329175,-0.00499,0.005809
189,-0.211327,-0.003263,0.004039
190,-0.080763,-0.00135,0.005057
191,0.015945,6.7e-05,0.00247
192,-1.552611,-0.022916,0.007459
193,-0.501155,-0.007509,0.00424
194,-0.578815,-0.008647,0.004147
195,-0.466726,-0.007005,0.005797
196,-0.39506,-0.005955,0.002862
197,0.677186,0.009756,0.004151
198,0.580216,0.008335,0.00656
199,-0.061836,-0.001072,0.002671
200,-0.466165,-0.006997,0.004232
201,0.798896,0.011539,0.006679
202,-2.710864,-0.039887,0.007532
203,-0.087568,-0.001449,0.002995
204,2.362654,0.034452,0.008121
205,-0.210993,-0.003258,0.004507
206,0.162255,0.002211,0.004831
207,0.050812,0.000578,0.004728
208,0.16764,0.00229,0.003543
209,-0.677077,-0.010087,0.005857
210,0.106165,0.001389,0.003144
211,0.447661,0.006393,0.003753
212,-1.243391,-0.018385,0.00649
213,1.16179,0.016857,0.007297
214,0.959852,0.013898,0.004646
215,0.099556,0.001292,0.00251
216,-1.788321,-0.02637,0.010419
217,0.003001,-0.000122,0.002371
218,-0.564758,-0.008441,0.003265
219,0.048704,0.000547,0.003027
220,-0.104684,-0.0017,0.003909
221,2.712948,0.039585,0.012404
222,0.083145,0.001052,0.002886
223,-0.473573,-0.007105,0.005427
224,0.102003,0.001328,0.002092
225,0.212746,0.002951,0.003782
226,1.656619,0.024107,0.011135
227,-1.863087,-0.027465,0.008097
228,0.037581,0.000384,0.012968
229,0.034705,0.000342,0.003018
230,-0.511478,-0.007661,0.003321
231,-0.537492,-0.008042,0.003946
232,0.490416,0.007019,0.004275
233,0.817844,0.011817,0.006384
234,-0.044407,-0.000817,0.007056
235,0.190356,0.002623,0.006991
236,-0.135507,-0.002152,0.002863
237,0.176311,0.002417,0.002283
238,-0.415506,-0.006255,0.006722
239,0.164817,0.002249,0.002721
240,2.511391,0.036632,0.02062
241,0.097942,0.001269,0.002457
242,-0.030859,-0.000618,0.002528
243,0.488497,0.006991,0.006965
244,0.007363,-5.8e-05,0.002891
245,-0.418872,-0.006304,0.006528
246,-0.189887,-0.002949,0.003659
247,-2.313923,-0.034071,0.007376
248,-0.62664,-0.009348,0.008781
249,-0.637532,-0.009508,0.014651
250,-0.322273,-0.004888,0.004884
251,-0.254731,-0.003899,0.005627
252,0.112761,0.001486,0.002729
253,0.220938,0.003071,0.003079
254,-0.201153,-0.003114,0.005296
255,-0.337643,-0.005114,0.002735
256,-0.286765,-0.004368,0.004231
257,0.16828,0.002299,0.003189
258,-0.711194,-0.010587,0.011452
259,-0.077975,-0.001309,0.002554
260,0.398696,0.005676,0.004733
261,0.134183,0.0018,0.002439
262,0.06017,0.000715,0.003101
263,-0.400886,-0.00604,0.004343
264,0.903479,0.013072,0.012116
265,0.024098,0.000187,0.002893
266,1.117777,0.016212,0.005476
267,-0.035523,-0.000687,0.002669
268,0.595955,0.008566,0.006584
269,-0.242011,-0.003712,0.007209
270,-0.007319,-0.000274,0.003266
271,0.1679,0.002294,0.003006
272,0.100318,0.001304,0.004122
273,0.292644,0.004122,0.003374
274,-0.783869,-0.011652,0.012778
275,0.224755,0.003127,0.003053
276,0.112798,0.001486,0.002633
277,-0.100765,-0.001643,0.003261
278,0.143217,0.001932,0.002519
279,-0.017998,-0.00043,0.002814
280,-0.170152,-0.002659,0.003142
281,-1.342795,-0.019842,0.006536
282,-0.170617,-0.002666,0.00271
283,-0.018079,-0.000431,0.001946
284,-0.53803,-0.00805,0.004238
285,0.039268,0.000409,0.002626
286,-3.465832,-0.050949,0.01525
287,-0.5754,-0.008597,0.005378
288,-0.310189,-0.004711,0.003819
289,3.031983,0.04426,0.008905
290,-0.458,-0.006877,0.005351
291,-0.163012,-0.002555,0.002641
292,0.245009,0.003424,0.003868
293,0.180913,0.002484,0.006315
294,0.524804,0.007523,0.004407
295,-0.035642,-0.000689,0.002976
296,-0.262925,-0.004019,0.002925
297,-0.051325,-0.000918,0.002253
298,1.438029,0.020904,0.004848
299,0.441624,0.006305,0.005007
300,-0.317294,-0.004815,0.004499
301,0.600979,0.008639,0.004743
302,-0.173954,-0.002715,0.004257
303,0.260737,0.003654,0.003709
304,-3.496753,-0.051402,0.011375
305,-0.481155,-0.007216,0.012122
306,-0.021498,-0.000481,0.006409
307,-0.09041,-0.001491,0.002663
308,-0.39831,-0.006003,0.00497
309,0.004988,-9.3e-05,0.003505
310,1.789398,0.026053,0.007726
311,-0.074192,-0.001253,0.003209
312,-1.007241,-0.014925,0.007773
313,0.799152,0.011543,0.004677
314,0.209249,0.0029,0.005293
315,-0.224226,-0.003452,0.002988
316,0.662775,0.009545,0.002977
317,1.549291,0.022535,0.010243
318,-0.457742,-0.006873,0.004571
319,-1.020204,-0.015115,0.006694
320,-0.329492,-0.004994,0.006576
321,-0.028673,-0.000586,0.003829
322,1.272151,0.018474,0.015434
323,-0.073804,-0.001248,0.008922
324,-0.495037,-0.00742,0.005057
325,0.145844,0.001971,0.002992
326,-0.391026,-0.005896,0.003651
327,-0.080237,-0.001342,0.003884
328,0.037328,0.000381,0.003095
329,0.631847,0.009092,0.003153
330,-1.891836,-0.027886,0.009946
331,0.729698,0.010526,0.007763
332,-0.013529,-0.000365,0.006138
333,0.23969,0.003346,0.002543
334,-0.346921,-0.00525,0.00338
335,-0.712231,-0.010602,0.004355
336,-0.171092,-0.002673,0.004159
337,-0.458142,-0.006879,0.003113
338,0.193607,0.00267,0.002223
339,0.127793,0.001706,0.003095
340,0.09741,0.001261,0.003542
341,0.419931,0.005987,0.003507
342,0.100037,0.001299,0.005452
343,-0.152029,-0.002394,0.003791
344,0.934877,0.013532,0.006287
345,-0.295881,-0.004502,0.006672
346,-0.813402,-0.012085,0.006554
347,-0.275327,-0.004201,0.002879
348,0.729595,0.010524,0.012689
349,0.099628,0.001293,0.002194
350,-2.965032,-0.043611,0.010442
351,-0.5706,-0.008527,0.004234
352,-1.280642,-0.018931,0.00729
353,-0.294477,-0.004481,0.005781
354,0.172113,0.002356,0.003144
355,-0.040477,-0.000759,0.004584
356,-0.678089,-0.010102,0.005833
357,0.219049,0.003043,0.003258
358,0.614393,0.008836,0.004612
359,-1.199748,-0.017746,0.009856
360,0.228192,0.003177,0.002754
361,-1.248132,-0.018454,0.009358
362,0.365971,0.005196,0.005051
363,-0.003162,-0.000213,0.003275
364,-0.230455,-0.003543,0.002716
365,-0.013572,-0.000365,0.004773
366,0.123056,0.001637,0.005315
367,0.636523,0.00916,0.005867
368,0.240038,0.003351,0.004692
369,-0.777296,-0.011556,0.004488
370,-0.27245,-0.004158,0.00313
371,-0.216407,-0.003337,0.003616
372,-0.129442,-0.002063,0.004463
373,-0.096716,-0.001583,0.003112
374,0.087374,0.001114,0.003977
375,-0.004403,-0.000231,0.002311
376,0.188049,0.002589,0.005434
377,2.822414,0.041189,0.018439
378,0.194791,0.002688,0.003366
379,-0.513481,-0.00769,0.004255
380,0.204495,0.00283,0.003691
381,0.092249,0.001185,0.002743
382,-0.01064,-0.000322,0.003402
383,-0.018441,-0.000437,0.00338
384,0.463213,0.006621,0.002958
385,0.083958,0.001064,0.010132
386,0.204227,0.002826,0.003377
387,-1.186125,-0.017546,0.006071
388,0.091774,0.001178,0.003155
389,-0.342942,-0.005191,0.004994
390,-0.065702,-0.001129,0.00283
391,-0.008111,-0.000285,0.005151
392,-0.039928,-0.000751,0.002448
393,-0.289208,-0.004404,0.003205
394,-1.494285,-0.022061,0.01613
395,0.037998,0.00039,0.004143
396,0.354549,0.005029,0.008282
397,0.717098,0.010341,0.005852
398,-0.103662,-0.001685,0.006297
399,0.228918,0.003188,0.003197
400,-0.110044,-0.001779,0.004496
401,0.182274,0.002504,0.003455
402,-0.197051,-0.003054,0.003017
403,-0.169916,-0.002656,0.002788
404,0.072698,0.000899,0.00218
405,-0.346808,-0.005248,0.003195
406,2.423358,0.035342,0.009256
407,-0.113602,-0.001831,0.002909
408,0.23484,0.003275,0.003652
