neuron_idx,z_score,raw_mean,raw_std
0,0.099711,0.002571,0.004441
1,0.05152,0.001296,0.002863
2,-0.081834,-0.002234,0.003341
3,0.618547,0.016304,0.008277
4,0.208997,0.005464,0.008528
5,-3.067104,-0.081246,0.012863
6,-0.887768,-0.023565,0.006827
7,2.764919,0.073113,0.01043
8,0.476851,0.012553,0.008156
9,-0.41258,-0.010988,0.008379
10,-0.01036,-0.000342,0.001614
11,-1.172559,-0.031102,0.009988
12,0.313752,0.008236,0.011098
13,0.632803,0.016681,0.007787
14,0.57998,0.015283,0.01813
15,-0.08408,-0.002293,0.005677
16,0.110551,0.002858,0.005289
17,-0.39976,-0.010648,0.007263
18,-0.207499,-0.00556,0.003111
19,-0.524658,-0.013954,0.012904
20,0.028313,0.000682,0.002946
21,0.276445,0.007249,0.005763
22,0.088801,0.002283,0.002813
23,-0.004096,-0.000176,0.002597
24,0.07396,0.00189,0.009844
25,1.48877,0.039336,0.014624
26,0.213496,0.005583,0.004647
27,0.278184,0.007295,0.00678
28,-0.673376,-0.01789,0.013335
29,0.533516,0.014053,0.013471
30,-0.025696,-0.000748,0.004694
31,-0.07136,-0.001957,0.005521
32,-1.193065,-0.031645,0.012897
33,-0.273958,-0.007319,0.004144
34,-0.485658,-0.012922,0.004772
35,-0.145429,-0.003917,0.006147
36,1.134981,0.029972,0.012557
37,-0.385727,-0.010277,0.006725
38,-0.211025,-0.005653,0.004495
39,0.034975,0.000858,0.002206
40,-0.740056,-0.019655,0.006757
41,1.708096,0.045141,0.016769
42,0.413602,0.010879,0.009127
43,0.0226,0.00053,0.003721
44,0.001007,-4.1e-05,0.002273
45,-2.889173,-0.076537,0.016633
46,0.114351,0.002959,0.005782
47,0.034988,0.000858,0.005879
48,-0.153085,-0.00412,0.004241
49,-0.099121,-0.002691,0.00526
50,-0.298218,-0.007961,0.008619
51,0.317974,0.008348,0.004401
52,-0.062138,-0.001712,0.005511
53,0.484846,0.012765,0.012595
54,0.083812,0.00215,0.003296
55,1.877176,0.049616,0.006827
56,0.169987,0.004431,0.011898
57,-0.101069,-0.002743,0.006352
58,0.035086,0.000861,0.002923
59,-0.514324,-0.013681,0.008053
60,-0.297363,-0.007938,0.003763
61,-0.024297,-0.000711,0.006739
62,0.01577,0.00035,0.012913
63,0.154956,0.004033,0.00758
64,0.092124,0.00237,0.002783
65,0.126803,0.003288,0.003401
66,-0.501093,-0.01333,0.010948
67,0.515761,0.013583,0.004763
68,0.027806,0.000668,0.002768
69,-0.501755,-0.013348,0.005852
70,1.0648,0.028115,0.00695
71,-0.261226,-0.006982,0.003782
72,0.003813,3.3e-05,0.002587
73,-0.051433,-0.001429,0.005062
74,0.260235,0.00682,0.005701
75,0.447534,0.011777,0.004105
76,0.324869,0.008531,0.005241
77,-0.01295,-0.000411,0.002339
78,-0.624007,-0.016584,0.006373
79,-1.60939,-0.042664,0.013098
80,-0.290968,-0.007769,0.008642
81,1.127164,0.029765,0.004991
82,-0.305961,-0.008166,0.011883
83,0.105229,0.002717,0.004026
84,1.477458,0.039037,0.009326
85,0.151849,0.003951,0.003989
86,0.319256,0.008382,0.005292
87,-0.319086,-0.008513,0.004484
88,-0.293149,-0.007827,0.009629
89,1.210952,0.031983,0.009948
90,-0.108903,-0.00295,0.004734
91,-0.088932,-0.002422,0.005537
92,2.419836,0.063979,0.008746
93,-0.142899,-0.00385,0.005118
94,-0.242637,-0.00649,0.0051
95,-0.134318,-0.003623,0.003838
96,-0.494217,-0.013148,0.006157
97,-1.162964,-0.030849,0.01249
98,-0.64806,-0.01722,0.004799
99,-0.015784,-0.000486,0.003646
100,0.27773,0.007283,0.002903
101,0.155917,0.004059,0.00526
102,-0.737002,-0.019574,0.006555
103,0.202056,0.00528,0.004979
104,0.468127,0.012322,0.007635
105,0.056132,0.001418,0.003279
106,-0.272339,-0.007276,0.008532
107,0.033034,0.000807,0.00441
108,-0.41867,-0.011149,0.009191
109,-0.012078,-0.000388,0.011142
110,-1.183252,-0.031386,0.008941
111,0.220585,0.005771,0.008817
112,-0.170757,-0.004587,0.011336
113,-0.171006,-0.004594,0.004934
114,0.28877,0.007575,0.005648
115,0.056355,0.001424,0.002863
116,-0.288941,-0.007715,0.006675
117,0.161526,0.004207,0.003812
118,-0.029165,-0.00084,0.003276
119,0.710204,0.018729,0.007445
120,0.522041,0.013749,0.004131
121,-0.263343,-0.007038,0.00327
122,0.184232,0.004808,0.004556
123,0.024217,0.000573,0.003337
124,0.805402,0.021249,0.012466
125,1.201023,0.03172,0.008326
126,-0.024765,-0.000723,0.005058
127,0.95803,0.025289,0.011005
128,-0.839183,-0.022279,0.00501
129,-0.755043,-0.020052,0.007455
130,0.702402,0.018523,0.008744
131,-1.240649,-0.032905,0.010727
132,0.309961,0.008136,0.006522
