neuron_idx,z_score,raw_mean,raw_std
0,0.59912,0.038847,0.035391
1,0.585006,0.03791,0.029451
2,-0.00604,-0.001312,0.037819
3,0.284524,0.01797,0.019684
4,2.814452,0.185858,0.147719
5,-0.315647,-0.021857,0.017432
6,-0.910588,-0.061338,0.041965
7,-0.239782,-0.016823,0.024009
8,-0.590487,-0.040096,0.023737
9,-0.076665,-0.005998,0.039421
10,-0.175846,-0.01258,0.063278
11,0.215664,0.013401,0.024976
12,-0.141033,-0.01027,0.025862
13,-0.021242,-0.00232,0.018546
14,-0.128261,-0.009422,0.028276
15,-0.18989,-0.013512,0.021021
16,-0.257425,-0.017994,0.0681
17,0.233031,0.014553,0.025575
18,0.016332,0.000173,0.047265
19,-0.019381,-0.002197,0.022747
20,-0.233869,-0.016431,0.048117
21,-0.478161,-0.032642,0.018954
22,1.774623,0.116854,0.035512
23,0.177604,0.010875,0.017751
24,-0.401054,-0.027525,0.032847
25,0.643584,0.041798,0.030799
26,0.050575,0.002445,0.03247
27,0.076552,0.004169,0.024333
28,0.113618,0.006629,0.012562
29,-0.288329,-0.020045,0.025241
30,0.357387,0.022806,0.113469
31,0.753918,0.04912,0.102057
32,-1.282441,-0.086014,0.063644
33,-0.125332,-0.009228,0.044581
34,-0.025883,-0.002628,0.073399
35,-0.176035,-0.012593,0.018783
36,-0.096601,-0.007321,0.029556
37,-0.976559,-0.065716,0.042659
38,-0.381952,-0.026257,0.020974
39,0.068856,0.003658,0.01762
40,-0.453094,-0.030978,0.065519
41,-0.212301,-0.014999,0.017456
42,0.186245,0.011448,0.039439
43,-0.549189,-0.037355,0.019228
44,0.213666,0.013268,0.017954
45,0.262191,0.016488,0.036355
46,0.10164,0.005834,0.031843
47,0.190372,0.011722,0.131558
48,-0.118798,-0.008794,0.028538
49,-0.187215,-0.013335,0.0319
50,0.214297,0.01331,0.023355
51,-0.670722,-0.04542,0.067927
52,0.039003,0.001677,0.043158
53,-0.316138,-0.02189,0.032127
54,-0.198825,-0.014105,0.023793
55,-0.303507,-0.021052,0.036593
56,0.622762,0.040416,0.026467
