neuron_idx,z_score,raw_mean,raw_std
0,-0.109177,-0.006345,0.007221
1,-0.246962,-0.013266,0.005225
2,0.157618,0.007057,0.004889
3,-0.26804,-0.014324,0.007055
4,0.100949,0.00421,0.005051
5,0.411685,0.019819,0.010165
6,-0.142098,-0.007998,0.006356
7,0.031709,0.000732,0.003672
8,11.581921,0.580917,0.111125
9,0.138555,0.006099,0.005384
10,0.554505,0.026993,0.008883
11,-0.271459,-0.014496,0.00943
12,0.270798,0.012742,0.0104
13,0.064131,0.002361,0.004366
14,0.032259,0.00076,0.00348
15,-0.004972,-0.00111,0.003082
16,-0.45017,-0.023473,0.007706
17,0.040279,0.001163,0.004117
18,0.140285,0.006186,0.004004
19,0.114845,0.004908,0.004761
20,0.352101,0.016826,0.010256
21,-0.230715,-0.01245,0.007004
22,0.08805,0.003563,0.004762
23,-0.043029,-0.003022,0.003593
24,-0.021389,-0.001935,0.003708
25,-0.87718,-0.044923,0.024546
26,0.135274,0.005935,0.005842
27,-0.559361,-0.028958,0.009343
28,-0.032085,-0.002472,0.005639
29,-0.112824,-0.006528,0.004021
30,0.018881,8.8e-05,0.003887
31,0.274557,0.012931,0.008071
32,0.191368,0.008752,0.006598
33,0.094548,0.003889,0.007992
34,0.543673,0.026449,0.009376
35,-0.310798,-0.016472,0.007351
36,-0.525633,-0.027264,0.011506
37,-0.4146,-0.021686,0.007077
38,-0.389633,-0.020432,0.010113
39,0.297571,0.014087,0.006078
40,0.300564,0.014237,0.005299
41,0.063334,0.002321,0.005552
42,-0.146168,-0.008203,0.005648
43,0.025011,0.000396,0.004349
44,-0.103658,-0.006067,0.007747
45,-0.251529,-0.013495,0.007918
46,0.014066,-0.000154,0.014366
47,0.359081,0.017177,0.007093
48,-0.184748,-0.010141,0.005375
49,0.036378,0.000967,0.004305
50,-0.140565,-0.007921,0.004681
51,0.09723,0.004024,0.004044
52,-0.074535,-0.004604,0.006004
53,-0.186619,-0.010235,0.006328
54,0.324643,0.015447,0.006342
55,0.077279,0.003021,0.008176
56,-2.271701,-0.114971,0.009691
57,-0.028728,-0.002303,0.004307
58,-0.067601,-0.004256,0.006388
59,0.166797,0.007518,0.004521
60,0.058575,0.002082,0.01128
61,0.078198,0.003068,0.008671
62,0.456308,0.022061,0.008224
63,-0.003472,-0.001035,0.003848
64,0.305895,0.014505,0.005594
65,0.105517,0.00444,0.003029
66,-0.000695,-0.000895,0.005016
67,1.13216,0.05601,0.009373
68,-0.1958,-0.010696,0.007527
69,0.821994,0.04043,0.01515
70,0.008412,-0.000438,0.005316
71,-0.434132,-0.022668,0.01206
72,0.121034,0.005219,0.004093
73,-0.4986,-0.025906,0.009097
74,-0.0844,-0.0051,0.005447
75,0.805279,0.03959,0.050078
76,0.660886,0.032337,0.00829
77,0.107139,0.004521,0.005917
78,0.535863,0.026057,0.01485
79,0.024605,0.000376,0.005002
80,0.672432,0.032917,0.010746
81,0.000727,-0.000824,0.004229
82,-0.101899,-0.005979,0.005177
83,-0.788256,-0.040456,0.00865
84,0.072367,0.002775,0.006194
85,-0.007707,-0.001248,0.004223
86,-0.537238,-0.027847,0.032082
87,-3.773731,-0.190421,0.050458
88,-0.289576,-0.015406,0.006262
89,0.062988,0.002304,0.009224
90,-0.290204,-0.015438,0.009347
91,-0.257674,-0.013804,0.007323
92,-0.862648,-0.044193,0.01449
93,-0.03796,-0.002767,0.005693
94,0.08647,0.003483,0.004996
95,-0.052046,-0.003475,0.007287
96,-0.029577,-0.002346,0.002886
97,0.767547,0.037695,0.007653
98,-0.268749,-0.01436,0.007431
99,0.042656,0.001282,0.002827
100,-0.059895,-0.003869,0.003717
101,0.201319,0.009252,0.005376
102,0.007949,-0.000461,0.003919
103,0.241538,0.011272,0.010224
104,0.022688,0.000279,0.003497
105,0.319712,0.015199,0.006644
106,-0.075721,-0.004664,0.004856
107,0.033492,0.000822,0.013635
108,-0.231645,-0.012496,0.005932
109,-0.006931,-0.001209,0.008194
110,0.748365,0.036731,0.009561
111,-0.057235,-0.003735,0.005854
112,0.126859,0.005512,0.007529
113,0.000662,-0.000827,0.002442
114,0.016746,-1.9e-05,0.00709
115,-0.534848,-0.027727,0.00796
116,-0.173657,-0.009583,0.006045
117,-0.628579,-0.032435,0.02103
118,0.054044,0.001854,0.003135
119,0.216517,0.010016,0.007494
120,2.12726,0.105995,0.077693
121,3.828257,0.191439,0.035583
122,-0.046087,-0.003175,0.005169
123,0.438481,0.021165,0.007538
124,-0.067949,-0.004274,0.004794
125,0.031005,0.000697,0.004016
126,0.012179,-0.000249,0.005261
127,0.55411,0.026973,0.007892
128,0.1356,0.005951,0.004726
129,-0.043374,-0.003039,0.005287
130,-0.111665,-0.00647,0.006432
131,0.054927,0.001899,0.004735
132,0.013865,-0.000164,0.004084
133,0.041322,0.001215,0.002926
134,0.360775,0.017262,0.010747
135,0.777042,0.038172,0.02004
136,0.138677,0.006106,0.005198
137,1.150946,0.056953,0.023539
138,0.297073,0.014062,0.006153
139,-0.055977,-0.003672,0.008664
140,-0.31098,-0.016481,0.006544
141,-0.51926,-0.026944,0.008396
142,0.132314,0.005786,0.005916
143,0.065803,0.002445,0.006057
144,-0.456959,-0.023814,0.018069
145,-0.093018,-0.005533,0.005607
146,0.1708,0.007719,0.006501
147,-0.229228,-0.012375,0.006288
148,0.637482,0.031161,0.007925
149,-0.098749,-0.005821,0.004063
150,0.350426,0.016742,0.008254
151,-1.240121,-0.063154,0.021766
152,-0.029362,-0.002335,0.011349
153,3.796216,0.189829,0.00959
154,0.061598,0.002234,0.006567
155,0.095535,0.003938,0.006371
156,0.181863,0.008275,0.010337
157,-0.041134,-0.002927,0.002872
158,0.053524,0.001828,0.007151
159,0.029878,0.00064,0.006063
160,0.399209,0.019192,0.00695
161,-0.406075,-0.021258,0.007264
162,0.079273,0.003122,0.004168
163,0.23846,0.011118,0.010092
164,0.143331,0.006339,0.007788
165,0.326056,0.015518,0.007208
166,-0.46543,-0.02424,0.007863
167,-0.302356,-0.016048,0.010286
168,-0.176715,-0.009737,0.00605
169,0.516054,0.025062,0.008366
170,-0.108529,-0.006312,0.011442
171,0.585487,0.02855,0.010116
172,-0.121266,-0.006952,0.005436
173,-7.676319,-0.386454,0.091608
174,0.056188,0.001962,0.009228
175,-0.113358,-0.006555,0.005357
176,-0.02721,-0.002227,0.003311
177,0.089354,0.003628,0.004135
178,-0.038706,-0.002805,0.005318
179,0.089301,0.003625,0.003695
180,0.230067,0.010696,0.010795
181,0.039567,0.001127,0.005809
182,-0.337238,-0.0178,0.007768
183,-0.016824,-0.001705,0.005413
184,0.01512,-0.000101,0.009643
185,-0.381427,-0.02002,0.015593
186,0.564375,0.027489,0.011381
187,-0.0208,-0.001905,0.005299
188,0.261419,0.012271,0.011711
189,0.36389,0.017418,0.005799
190,-0.088081,-0.005285,0.006674
191,0.012771,-0.000219,0.003061
192,-0.448364,-0.023382,0.009164
193,1.064834,0.052628,0.011266
194,0.054009,0.001853,0.003922
195,-0.328132,-0.017343,0.011655
196,-0.237682,-0.0128,0.006901
197,0.495449,0.024027,0.008197
198,0.193363,0.008853,0.007753
199,0.229338,0.01066,0.006147
200,-0.124662,-0.007122,0.006929
201,0.252165,0.011806,0.005636
202,0.887396,0.043715,0.009164
203,-0.121465,-0.006962,0.008468
204,0.244555,0.011424,0.009646
205,0.404981,0.019482,0.008993
206,-0.007224,-0.001223,0.004257
207,-0.730277,-0.037543,0.012248
208,0.051913,0.001747,0.007635
209,0.028965,0.000595,0.003072
210,0.670024,0.032796,0.011886
211,-0.586729,-0.030333,0.011501
212,-0.064811,-0.004116,0.005517
213,-0.094058,-0.005585,0.006664
214,-0.225274,-0.012176,0.006614
215,-0.313243,-0.016595,0.006141
216,0.181055,0.008234,0.009305
217,0.097408,0.004033,0.005571
218,0.121066,0.005221,0.005252
219,0.138546,0.006099,0.004571
220,0.259934,0.012196,0.00774
221,0.596199,0.029088,0.02065
222,0.072187,0.002766,0.006158
223,-0.352232,-0.018554,0.007677
224,0.130242,0.005682,0.026002
225,-0.687661,-0.035403,0.007786
226,0.348959,0.016668,0.007125
227,-0.453747,-0.023653,0.006949
228,0.747523,0.036689,0.01737
229,0.412309,0.019851,0.006188
230,0.080075,0.003162,0.005674
231,0.335719,0.016003,0.007872
232,0.019787,0.000134,0.004844
233,-0.117294,-0.006752,0.007287
234,0.893871,0.04404,0.008364
235,0.177975,0.00808,0.004953
236,1.351264,0.067016,0.027607
237,0.136828,0.006013,0.014396
238,0.171277,0.007743,0.007623
239,-0.255012,-0.01367,0.008137
240,0.065271,0.002418,0.007346
241,0.015213,-9.6e-05,0.006533
242,-0.098318,-0.005799,0.009792
243,0.049601,0.001631,0.004014
244,-0.233106,-0.01257,0.005439
245,-0.050321,-0.003388,0.008683
246,-0.044295,-0.003085,0.004902
247,0.195524,0.008961,0.005237
248,-0.019157,-0.001823,0.007866
249,0.069141,0.002613,0.004224
250,0.282488,0.013329,0.005869
251,0.105656,0.004447,0.006729
252,0.097592,0.004042,0.007413
253,-0.047409,-0.003242,0.004604
254,0.307234,0.014572,0.006012
255,0.185988,0.008482,0.005877
256,-0.038692,-0.002804,0.004476
257,0.301702,0.014295,0.007938
258,-0.241467,-0.01299,0.007597
259,-0.233894,-0.012609,0.027612
260,-0.110783,-0.006425,0.004971
261,0.009443,-0.000386,0.007876
262,-0.836109,-0.042859,0.009367
263,0.431867,0.020833,0.012001
264,-0.15585,-0.008689,0.006244
