neuron_idx,z_score,raw_mean,raw_std
0,0.063914,0.009027,0.030914
1,-0.493527,-0.052852,0.057074
2,-0.142023,-0.013833,0.019346
3,0.592647,0.067719,0.102748
4,0.101969,0.013251,0.051102
5,0.035823,0.005909,0.144052
6,0.199495,0.024077,0.130721
7,0.391645,0.045407,0.090061
8,0.520213,0.059678,0.159321
9,0.002434,0.002202,0.108877
10,0.061898,0.008803,0.022511
11,-0.061787,-0.004927,0.167697
12,-0.109596,-0.010234,0.082374
13,-0.006485,0.001212,0.003049
14,0.196168,0.023708,0.032023
15,-0.275635,-0.028665,0.054088
16,-1.367804,-0.149901,0.218229
17,-2.122157,-0.233638,0.191208
18,0.127061,0.016036,0.06267
19,-0.204927,-0.020816,0.080566
20,-0.300846,-0.031463,0.020424
21,-0.407839,-0.04334,0.042316
22,-0.26747,-0.027758,0.12916
23,1.440922,0.161882,0.290143
24,3.118467,0.348098,0.472834
25,0.930506,0.105223,0.173704
26,0.177473,0.021632,0.019206
27,-0.188496,-0.018992,0.023045
28,-0.27767,-0.028891,0.227297
29,-0.310413,-0.032525,0.070444
30,-0.104073,-0.009621,0.030866
31,1.556332,0.174693,0.523368
32,0.167379,0.020512,0.087605
33,0.080316,0.010848,0.093714
34,-0.353816,-0.037343,0.12548
35,-0.142281,-0.013862,0.122065
36,-0.166246,-0.016522,0.116193
37,-1.009385,-0.110115,0.185143
38,-0.124873,-0.011929,0.157908
39,0.78187,0.088723,0.160956
40,0.454858,0.052424,0.085856
41,-1.639549,-0.180066,0.176267
42,-0.02583,-0.000935,0.137294
43,1.356924,0.152557,0.149125
44,-2.086116,-0.229637,0.248333
45,0.092972,0.012252,0.017124
46,0.622648,0.071049,0.086079
47,0.16738,0.020512,0.027684
48,1.813326,0.20322,0.059109
49,1.01742,0.114871,0.491075
50,-1.358116,-0.148826,0.063286
51,0.099809,0.013011,0.039932
52,0.082667,0.011109,0.093593
53,-2.122053,-0.233626,0.432723
54,-0.261654,-0.027113,0.042474
55,-0.067421,-0.005552,0.140275
56,-0.399014,-0.042361,0.09727
57,0.180461,0.021964,0.012881
58,0.009164,0.002949,0.034994
59,-0.178429,-0.017875,0.045336
60,-0.242498,-0.024986,0.033014
61,-0.054947,-0.004167,0.015294
62,-0.175924,-0.017596,0.078635
63,-0.204671,-0.020788,0.303092
64,-0.2699,-0.028028,0.029563
65,-0.069024,-0.00573,0.053537
66,0.561709,0.064285,0.047919
