neuron_idx,z_score,raw_mean,raw_std
0,-1.572543,-0.181059,0.165475
1,-1.753327,-0.20181,0.13162
2,1.752231,0.200558,0.209391
3,-0.180686,-0.021302,0.053617
4,-0.58306,-0.067487,0.097553
5,0.605596,0.068947,0.050369
6,-0.067551,-0.008317,0.047835
7,-0.53777,-0.062288,0.098966
8,0.116362,0.012793,0.018404
9,-0.036789,-0.004786,0.03477
10,0.002561,-0.000269,0.001775
11,0.355063,0.040191,0.038832
12,0.237416,0.026688,0.095426
13,1.168155,0.133518,0.157722
14,0.552847,0.062893,0.114767
15,-0.093853,-0.011335,0.051985
16,0.372134,0.042151,0.023964
17,0.140347,0.015546,0.03649
18,0.144323,0.016002,0.182137
19,0.138876,0.015377,0.03014
20,-0.011572,-0.001891,0.043964
21,-0.146731,-0.017405,0.053631
22,-0.835838,-0.0965,0.029695
23,0.659313,0.075113,0.030467
24,-0.050093,-0.006313,0.060927
25,-0.047079,-0.005967,0.021282
26,-0.674173,-0.077945,0.06255
27,0.137265,0.015192,0.025167
28,-0.259406,-0.030338,0.087923
29,-0.157616,-0.018654,0.024201
30,-0.562015,-0.065071,0.105632
31,0.103802,0.011351,0.021022
32,-0.06781,-0.008346,0.08319
33,-3.559541,-0.409127,0.265223
34,-0.559661,-0.064801,0.039277
35,-0.10162,-0.012227,0.022079
36,0.062408,0.0066,0.06332
37,0.012438,0.000865,0.066792
38,0.152413,0.016931,0.020976
39,-10.632393,-1.220949,0.454023
40,0.046997,0.004831,0.034404
41,-0.211537,-0.024843,0.0562
42,-0.003733,-0.000991,0.017328
43,0.887933,0.101354,0.057029
44,-0.315967,-0.03683,0.039753
45,-0.148054,-0.017557,0.079853
46,0.077188,0.008297,0.03581
47,-0.08858,-0.01073,0.10304
48,-0.035209,-0.004604,0.019134
49,0.052028,0.005409,0.027468
50,-0.091246,-0.011036,0.065496
51,-0.243264,-0.028485,0.027754
52,-0.192034,-0.022605,0.034957
53,0.083291,0.008997,0.02725
54,0.107285,0.011751,0.048132
55,-0.353668,-0.041157,0.023286
56,0.221897,0.024906,0.043821
57,0.127988,0.014128,0.062988
58,-0.06393,-0.007901,0.016254
59,0.199029,0.022282,0.069563
60,-0.134618,-0.016014,0.026671
61,-0.765815,-0.088463,0.106808
62,-0.183917,-0.021673,0.069364
63,0.291879,0.032939,0.066587
64,-0.003598,-0.000976,0.017859
65,-0.28231,-0.032967,0.05738
66,0.263097,0.029635,0.028529
67,0.173173,0.019314,0.022482
68,-0.351617,-0.040922,0.053154
69,0.919436,0.10497,0.083673
70,2.341256,0.268166,0.150894
71,-0.025835,-0.003528,0.015092
72,0.121535,0.013387,0.016446
73,0.225314,0.025299,0.019839
74,0.013302,0.000964,0.038386
75,-0.316038,-0.036838,0.04427
76,-0.124471,-0.01485,0.06858
77,0.112817,0.012386,0.049892
78,-0.335987,-0.039128,0.05067
79,0.096012,0.010457,0.056122
80,0.249815,0.028111,0.181793
81,0.500239,0.056855,0.062434
82,0.229237,0.025749,0.067112
83,-0.577423,-0.06684,0.02636
84,-0.176088,-0.020774,0.026802
85,-0.607662,-0.07031,0.040281
86,-0.030752,-0.004093,0.058737
87,-0.138162,-0.016421,0.070995
88,0.247273,0.027819,0.050583
89,1.673604,0.191533,0.263268
90,-0.284201,-0.033184,0.04528
91,-0.175531,-0.02071,0.059638
92,0.132128,0.014603,0.022583
93,1.57948,0.18073,0.137558
94,0.316575,0.035774,0.02562
95,0.30632,0.034596,0.031944
96,0.012965,0.000925,0.031912
97,0.342504,0.03875,0.021565
98,0.273207,0.030796,0.024361
99,-0.439438,-0.051002,0.053794
100,-0.32057,-0.037358,0.121758
101,-0.380305,-0.044214,0.043673
102,0.812887,0.09274,0.116778
103,-0.043934,-0.005606,0.049411
104,0.379766,0.043027,0.030672
105,-0.00708,-0.001376,0.042003
106,0.177252,0.019782,0.059867
107,0.232456,0.026118,0.021206
108,-0.19181,-0.022579,0.014778
109,-0.030557,-0.00407,0.041634
110,0.020256,0.001762,0.022756
111,-0.223022,-0.026161,0.032546
112,0.003124,-0.000204,0.034927
113,0.029502,0.002823,0.106007
114,-0.108839,-0.013055,0.050964
115,-0.028179,-0.003797,0.074767
116,0.034952,0.003449,0.020862
117,0.034288,0.003373,0.02857
118,0.190501,0.021303,0.04849
119,0.556467,0.063308,0.114866
120,-0.060012,-0.007451,0.222444
121,-1.412603,-0.162702,0.359383
122,0.429823,0.048772,0.083195
123,-0.543505,-0.062946,0.154358
124,0.546914,0.062212,0.108593
125,-0.463881,-0.053807,0.029646
126,-0.114956,-0.013758,0.074074
127,-0.49959,-0.057906,0.083145
128,-0.055129,-0.006891,0.036556
129,0.136522,0.015107,0.052436
130,-0.322453,-0.037574,0.371142
131,0.402683,0.045657,0.060422
132,0.051043,0.005296,0.066298
133,-0.301934,-0.035219,0.041675
134,0.2393,0.026904,0.093741
135,0.041582,0.00421,0.111373
136,-0.008737,-0.001566,0.022792
137,0.516316,0.0587,0.182504
138,-0.046009,-0.005844,0.020126
139,-0.068459,-0.008421,0.02939
140,-0.681733,-0.078812,0.15044
141,-0.018744,-0.002714,0.036582
142,0.325168,0.03676,0.044638
143,-0.062329,-0.007717,0.038608
144,0.247615,0.027858,0.101642
145,0.379929,0.043045,0.020621
146,0.326788,0.036946,0.213991
147,0.144867,0.016065,0.045265
148,-0.26067,-0.030483,0.02484
149,0.450518,0.051147,0.061766
150,-0.201101,-0.023645,0.058067
151,-0.172149,-0.020322,0.03557
152,0.073198,0.007839,0.035442
153,2.137932,0.244829,0.050666
154,0.14764,0.016383,0.102492
155,-0.076735,-0.009371,0.031479
156,-0.093095,-0.011248,0.02667
157,-0.307491,-0.035857,0.023804
158,0.567612,0.064588,0.027992
159,-0.134246,-0.015972,0.017597
160,4.473583,0.512915,0.399442
161,0.025197,0.002329,0.019645
162,0.847615,0.096726,0.103925
163,-0.586393,-0.067869,0.083807
164,-0.322497,-0.037579,0.247191
165,0.060908,0.006428,0.016698
166,-0.733216,-0.084721,0.100968
167,0.180913,0.020202,0.027845
168,-2.124649,-0.24443,0.355192
169,0.287183,0.0324,0.0168
170,0.235743,0.026496,0.037368
171,0.296737,0.033497,0.084805
172,0.440467,0.049994,0.158428
173,-0.275559,-0.032192,0.079319
174,0.170896,0.019052,0.086254
175,-0.341975,-0.039815,0.038219
176,-0.540502,-0.062602,0.034612
177,-0.090177,-0.010913,0.02121
178,-0.328476,-0.038265,0.233279
179,0.055599,0.005819,0.023607
180,0.366138,0.041462,0.057383
181,0.030506,0.002939,0.022104
182,0.309194,0.034926,0.212735
183,0.023807,0.00217,0.009338
184,-0.192103,-0.022613,0.052874
185,-0.084378,-0.010248,0.034827
186,0.102516,0.011204,0.018367
187,0.272062,0.030664,0.092622
188,-0.248447,-0.02908,0.181645
189,-0.020052,-0.002865,0.027167
190,0.172698,0.019259,0.02598
191,-1.85371,-0.213332,0.251212
192,-0.86416,-0.099751,0.168435
193,0.561502,0.063886,0.078232
194,0.121253,0.013354,0.049215
195,-0.952428,-0.109883,0.076959
196,-1.173755,-0.135287,0.050887
197,-0.225876,-0.026489,0.036813
198,-0.158785,-0.018788,0.036111
199,-0.311804,-0.036352,0.089693
200,0.165189,0.018397,0.040677
201,-0.133905,-0.015933,0.05797
202,-0.111536,-0.013365,0.023227
203,0.16911,0.018847,0.05277
204,-0.454612,-0.052743,0.030806
205,0.333892,0.037761,0.03908
206,0.073842,0.007913,0.054061
207,-0.057872,-0.007206,0.028033
208,-0.046254,-0.005872,0.04401
209,0.090626,0.009839,0.139262
210,-0.475668,-0.05516,0.12712
211,-0.354622,-0.041266,0.03987
212,-1.020655,-0.117714,0.123937
213,-0.227917,-0.026723,0.063081
214,-0.292083,-0.034088,0.048667
215,0.02557,0.002372,0.024794
216,0.279009,0.031462,0.031956
217,-1.418957,-0.163431,0.248475
218,0.098132,0.010701,0.123294
219,-1.093141,-0.126034,0.195771
220,0.360111,0.040771,0.046051
221,-0.0258,-0.003524,0.044446
222,0.187642,0.020975,0.080455
223,-0.3901,-0.045339,0.024414
224,0.112752,0.012379,0.026769
225,-0.264759,-0.030952,0.030872
226,0.213262,0.023915,0.032823
227,0.09612,0.01047,0.057551
228,-0.335892,-0.039117,0.0823
229,-0.567453,-0.065695,0.045552
230,-0.20218,-0.023769,0.040432
231,0.867239,0.098979,0.04127
232,0.134386,0.014862,0.05077
233,0.386667,0.043819,0.073521
234,0.562494,0.064,0.030532
235,-0.172119,-0.020319,0.044082
236,0.001199,-0.000425,0.025397
237,-0.34635,-0.040317,0.031598
238,-0.372342,-0.0433,0.081123
239,-0.564201,-0.065322,0.030972
240,-1.047179,-0.120758,0.077907
241,-0.158159,-0.018716,0.074784
242,0.420415,0.047692,0.053459
243,0.255958,0.028816,0.018822
244,-3.44467,-0.395942,0.20325
245,0.266175,0.029989,0.066181
246,0.186448,0.020838,0.075349
247,-0.158237,-0.018725,0.022345
248,0.450551,0.051151,0.025665
249,-1.802192,-0.207419,0.157242
250,0.059085,0.006219,0.027634
251,-0.048362,-0.006114,0.022375
252,-0.077892,-0.009503,0.039221
253,0.272751,0.030743,0.03613
254,-0.067559,-0.008317,0.047
255,0.103246,0.011288,0.06143
256,0.245101,0.02757,0.033495
257,-0.557823,-0.06459,0.066386
258,-0.580491,-0.067192,0.075356
259,-0.967163,-0.111574,0.120665
260,-0.127744,-0.015225,0.055221
261,0.142549,0.015799,0.027658
262,-0.114419,-0.013696,0.023568
263,-0.145039,-0.017211,0.096735
264,-0.189082,-0.022266,0.019545
265,-0.998717,-0.115196,0.134364
266,0.222695,0.024998,0.017549
267,-0.174168,-0.020554,0.024946
268,-0.704289,-0.081401,0.023878
269,0.206765,0.02317,0.028957
270,1.482682,0.169619,0.196534
271,-0.236396,-0.027697,0.033089
